Sno,Admission Number,Fee Head,Fee Head,Fees Assigned,concession,Paid,Due
300,10001544,Admission Fee,WonderSkill Workshop,0,0,0,0
301,10001720,Admission Fee,WonderSkill Workshop,0,0,0,0
302,10002150,Admission Fee,WonderSkill Workshop,0,0,0,0
303,10002075,Admission Fee,WonderSkill Workshop,0,0,0,0
304,10002084,Admission Fee,WonderSkill Workshop,0,0,0,0
305,10001507,Admission Fee,WonderSkill Workshop,0,0,0,0
306,10001476,Admission Fee,WonderSkill Workshop,0,0,0,0
307,10001479,Admission Fee,WonderSkill Workshop,0,0,0,0
308,10001615,Admission Fee,WonderSkill Workshop,0,0,0,0
309,10001661,Admission Fee,WonderSkill Workshop,0,0,0,0
310,10001566,Admission Fee,WonderSkill Workshop,0,0,0,0
311,10001525,Admission Fee,WonderSkill Workshop,1000,1000,0,0
312,10003238,Admission Fee,WonderSkill Workshop,0,0,0,0
313,10003214,Admission Fee,WonderSkill Workshop,0,0,0,0
314,10003210,Admission Fee,WonderSkill Workshop,0,0,0,0
315,10003066,Admission Fee,WonderSkill Workshop,0,0,0,0
316,10003120,Admission Fee,WonderSkill Workshop,0,0,0,0
317,10003116,Admission Fee,WonderSkill Workshop,0,0,0,0
318,10001622,Admission Fee,WonderSkill Workshop,0,0,0,0
319,10003045,Admission Fee,WonderSkill Workshop,0,0,0,0
320,10003036,Admission Fee,WonderSkill Workshop,0,0,0,0
321,10002965,Admission Fee,WonderSkill Workshop,0,0,0,0
322,10002961,Admission Fee,WonderSkill Workshop,0,0,0,0
323,10002907,Admission Fee,WonderSkill Workshop,0,0,0,0
324,10001885,Admission Fee,WonderSkill Workshop,0,0,0,0
325,10001765,Admission Fee,WonderSkill Workshop,0,0,0,0
326,10002293,Admission Fee,WonderSkill Workshop,0,0,0,0
327,10002298,Admission Fee,WonderSkill Workshop,0,0,0,0
328,10001560,Admission Fee,WonderSkill Workshop,0,0,0,0
329,10002060,Admission Fee,WonderSkill Workshop,0,0,0,0
330,10002085,Admission Fee,WonderSkill Workshop,0,0,0,0
331,10001762,Admission Fee,WonderSkill Workshop,0,0,0,0
332,10002081,Admission Fee,WonderSkill Workshop,0,0,0,0
333,10001519,Admission Fee,WonderSkill Workshop,0,0,0,0
334,10001611,Admission Fee,WonderSkill Workshop,0,0,0,0
335,10001578,Admission Fee,WonderSkill Workshop,0,0,0,0
336,10001478,Admission Fee,WonderSkill Workshop,0,0,0,0
337,10001866,Admission Fee,WonderSkill Workshop,0,0,0,0
338,10001473,Admission Fee,WonderSkill Workshop,0,0,0,0
339,10003256,Admission Fee,WonderSkill Workshop,0,0,0,0
340,10003135,Admission Fee,WonderSkill Workshop,0,0,0,0
341,10001634,Admission Fee,WonderSkill Workshop,0,0,0,0
342,10002906,Admission Fee,WonderSkill Workshop,0,0,0,0
343,10002769,Admission Fee,WonderSkill Workshop,0,0,0,0
344,10001530,Admission Fee,WonderSkill Workshop,0,0,0,0
345,10001480,Admission Fee,WonderSkill Workshop,0,0,0,0
346,10001722,Admission Fee,WonderSkill Workshop,0,0,0,0
347,10002143,Admission Fee,WonderSkill Workshop,0,0,0,0
348,10002105,Admission Fee,WonderSkill Workshop,0,0,0,0
349,10001876,Admission Fee,WonderSkill Workshop,0,0,0,0
350,10001856,Admission Fee,WonderSkill Workshop,0,0,0,0
351,10001983,Admission Fee,WonderSkill Workshop,0,0,0,0
352,10001704,Admission Fee,WonderSkill Workshop,0,0,0,0
353,10001909,Admission Fee,WonderSkill Workshop,0,0,0,0
354,10001517,Admission Fee,WonderSkill Workshop,0,0,0,0
355,10001743,Admission Fee,WonderSkill Workshop,0,0,0,0
356,10002083,Admission Fee,WonderSkill Workshop,0,0,0,0
357,10001483,Admission Fee,WonderSkill Workshop,0,0,0,0
358,10002089,Admission Fee,WonderSkill Workshop,0,0,0,0
359,10003070,Admission Fee,WonderSkill Workshop,0,0,0,0
360,10001468,Admission Fee,WonderSkill Workshop,0,0,0,0
361,10001571,Admission Fee,WonderSkill Workshop,1000,0,1000,0
362,10001624,Admission Fee,WonderSkill Workshop,0,0,0,0
363,10001729,Admission Fee,WonderSkill Workshop,0,0,0,0
364,10001526,Admission Fee,WonderSkill Workshop,1000,0,1000,0
365,10001470,Admission Fee,WonderSkill Workshop,0,0,0,0
366,10001511,Admission Fee,WonderSkill Workshop,1000,0,1000,0
367,10001604,Admission Fee,WonderSkill Workshop,0,0,0,0
368,10003253,Admission Fee,WonderSkill Workshop,0,0,0,0
369,10002881,Admission Fee,WonderSkill Workshop,0,0,0,0
370,10002300,Admission Fee,WonderSkill Workshop,1000,0,1000,0
371,10002646,Admission Fee,WonderSkill Workshop,1000,0,1000,0
372,10001619,Admission Fee,WonderSkill Workshop,1000,0,1000,0
373,10002632,Admission Fee,WonderSkill Workshop,0,0,0,0
374,10001602,Admission Fee,WonderSkill Workshop,0,0,0,0
375,10002110,Admission Fee,WonderSkill Workshop,0,0,0,0
376,10001934,Admission Fee,WonderSkill Workshop,0,0,0,0
377,10001594,Admission Fee,WonderSkill Workshop,0,0,0,0
378,10001766,Admission Fee,WonderSkill Workshop,1000,0,1000,0
379,10001631,Admission Fee,WonderSkill Workshop,0,0,0,0
380,10001891,Admission Fee,WonderSkill Workshop,1000,0,1000,0
381,10001465,Admission Fee,WonderSkill Workshop,1000,0,1000,0
382,10002058,Admission Fee,WonderSkill Workshop,0,0,0,0
383,10002082,Admission Fee,WonderSkill Workshop,2000,0,2000,0
384,10003172,Admission Fee,WonderSkill Workshop,1000,0,1000,0
385,10002908,Admission Fee,WonderSkill Workshop,0,0,0,0
386,10001948,Admission Fee,WonderSkill Workshop,1000,0,1000,0
387,10001316,Admission Fee,WonderSkill Workshop,0,0,0,0
388,10002100,Admission Fee,WonderSkill Workshop,1000,0,1000,0
389,10001873,Admission Fee,WonderSkill Workshop,1000,0,1000,0
390,10001641,Admission Fee,WonderSkill Workshop,1000,0,1000,0
391,10001837,Admission Fee,WonderSkill Workshop,1000,0,1000,0
392,10001800,Admission Fee,WonderSkill Workshop,1000,0,1000,0
393,10001701,Admission Fee,WonderSkill Workshop,1000,0,1000,0
394,10001693,Admission Fee,WonderSkill Workshop,1000,0,1000,0
395,10001696,Admission Fee,WonderSkill Workshop,1000,0,1000,0
396,10001703,Admission Fee,WonderSkill Workshop,1000,0,1000,0
397,10001632,Admission Fee,WonderSkill Workshop,1000,0,1000,0
398,10003151,Admission Fee,WonderSkill Workshop,1000,0,0,1000
399,10003137,Admission Fee,WonderSkill Workshop,1000,0,1000,0
400,10001792,Admission Fee,WonderSkill Workshop,1000,0,1000,0
401,10002915,Admission Fee,WonderSkill Workshop,1000,0,0,1000
402,10001637,Admission Fee,WonderSkill Workshop,1000,0,1000,0
403,10002345,Admission Fee,WonderSkill Workshop,1000,0,1000,0
404,10001584,Admission Fee,WonderSkill Workshop,1000,0,1000,0
405,10001790,Admission Fee,WonderSkill Workshop,1000,0,1000,0
406,10001638,Admission Fee,WonderSkill Workshop,1000,0,1000,0
407,10001639,Admission Fee,WonderSkill Workshop,1000,0,1000,0
408,10001628,Admission Fee,WonderSkill Workshop,1000,0,1000,0
409,10002099,Admission Fee,WonderSkill Workshop,1000,0,1000,0
410,10002064,Admission Fee,WonderSkill Workshop,1000,0,1000,0
411,10002053,Admission Fee,WonderSkill Workshop,1000,0,1000,0
412,10002682,Admission Fee,WonderSkill Workshop,1000,0,1000,0
413,10002316,Admission Fee,WonderSkill Workshop,1000,0,1000,0
414,10001640,Admission Fee,WonderSkill Workshop,1000,0,1000,0
415,10001754,Admission Fee,WonderSkill Workshop,1000,0,1000,0
416,10002341,Admission Fee,WonderSkill Workshop,1000,0,1000,0
417,10002322,Admission Fee,WonderSkill Workshop,1000,0,1000,0
418,10001651,Admission Fee,WonderSkill Workshop,1000,0,1000,0
419,10002272,Admission Fee,WonderSkill Workshop,1000,0,1000,0
420,10002270,Admission Fee,WonderSkill Workshop,1000,0,1000,0
421,10002262,Admission Fee,WonderSkill Workshop,1000,0,0,1000
422,10002263,Admission Fee,WonderSkill Workshop,1000,0,1000,0
423,10002261,Admission Fee,WonderSkill Workshop,1000,1000,0,0
424,10002378,Admission Fee,WonderSkill Workshop,1000,0,1000,0
425,10002854,Admission Fee,WonderSkill Workshop,1000,0,1000,0
426,10002773,Admission Fee,WonderSkill Workshop,1000,0,1000,0
427,10002766,Admission Fee,WonderSkill Workshop,1000,0,1000,0
428,10002308,Admission Fee,WonderSkill Workshop,1000,0,1000,0
429,10002325,Admission Fee,WonderSkill Workshop,1000,0,1000,0
430,10002304,Admission Fee,WonderSkill Workshop,1000,0,1000,0
431,10002256,Admission Fee,WonderSkill Workshop,1000,0,1000,0
